"d35_cc_ctrl"	"d35_cc_sub"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*"	-1.0001000150025	0	-1.0001000150025	0.000355555555555556
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	1.0001000150025	0	1.0001000150025	0.000333333333333333
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	1.0001000150025	1.0001000150025	1.0001000150025	0.0012384126984127
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*"	0	0	0	0.00130333333333333
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	0.377969872617405	0.542342096019343	0.394674217540781	0.00773268398268398
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	0	-1.0001000150025	-1.0001000150025	0.000693333333333334
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	0	0	0	0.00156666666666667
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	-1.0001000150025	0	-1.0001000150025	0.000653333333333333
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	0	0	0	0.000676190476190476
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00289
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00483333333333333
"1,2-dilinoleoyl-GPE (18:2/18:2)*"	0	0	0	0.00285666666666667
"1,2-dilinoleoyl-GPC (18:2/18:2)"	0	0	0	0
"1,2-dipalmitoyl-GPC (16:0/16:0)"	1.0001000150025	1.0001000150025	1.0001000150025	0.00604333333333333
"1-linoleoyl-GPE (18:2)*"	0	0	0	0.00035
"1-linoleoyl-GPG (18:2)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00243174603174603
"1-linoleoyl-GPC (18:2)"	0	0	0	0.00223333333333333
"1-linoleoylglycerol (18:2)"	0.870128712191197	1.03107665968329	1.17626801863063	0.0207228571428571
"1-methyl-beta-carboline-3-carboxylic acid"	0	0	0	0
"1-methyladenine"	2.18386141907487	2.16467160740881	2.1874845792256	0.0183944444444444
"1-methylguanidine"	0	0	0	0.00348666666666667
"1-methylhistamine"	2.23718685071341	2.36516525636694	2.46080192511321	0.0152992063492063
"1-methylimidazoleacetate"	0	0	0	0.00511587301587302
"1-methylnicotinamide"	1.0001000150025	1.0001000150025	1.0001000150025	0.00629380952380952
"1-methylxanthine"	-1.66712982262021	-0.852864894215877	-1.47853201907381	0.015747619047619
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*"	0	0	0	0.00166285714285714
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	0	0	0	3e-04
"1-oleoyl-GPE (18:1)"	1.09121936598082	1.60397995650654	1.41414722122007	0.0166969841269841
