"d7_cc_ctrl"	"d7_cc_sub"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*"	2.13780525008448	0.640210638343084	1.86318321028882	0.0203538095238095
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	0	0	0	0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	1.41449648996668	1.38701725030211	1.40868513468813	0.0102733333333333
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*"	-1.09121936598082	-0.577369515160903	-0.92855674233093	0.00637380952380952
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	-0.625567721387099	1.73257065675498	0.833168061372316	0.00854396825396825
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	-1.34188234706475	-1.38701725030211	-1.40868513468813	0.00313333333333333
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	0	0	0	0.00151666666666667
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	0.852864894215877	0	0.548270844312378	0.00759269841269841
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	-0.447222540040205	-1.0001000150025	-0.128037089829937	0.0046168253968254
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	3.56411251374524	3.55362162118333	3.90812387997475	0.0411771428571429
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	-0.780916427750203	-0.654681729097631	-0.67990488144408	0.00688095238095238
"1,2-dilinoleoyl-GPE (18:2/18:2)*"	1.57181676187063	1.41449648996668	1.52788177900243	0.0158714285714286
"1,2-dilinoleoyl-GPC (18:2/18:2)"	2.71584207826558	3.22243244943098	3.20493834477245	0.0338452380952381
"1,2-dipalmitoyl-GPC (16:0/16:0)"	1.38701725030211	1.38701725030211	1.38701725030211	0.00916666666666667
"1-linoleoyl-GPE (18:2)*"	2.62440052523383	2.50341861180691	2.68531901742436	0.0430442857142857
"1-linoleoyl-GPG (18:2)*"	-1.0001000150025	0	-0.70933505355602	0.00487460317460317
"1-linoleoyl-GPC (18:2)"	-0.727645398532215	-1.26511349842314	-1.09121936598082	0.00187777777777778
"1-linoleoylglycerol (18:2)"	-1.38701725030211	-1.21285649954833	-1.38701725030211	0.00743333333333333
"1-methyl-beta-carboline-3-carboxylic acid"	0	0	0	0
"1-methyladenine"	-0.92855674233093	-1.37440224721932	-1.23000534908783	0.00992047619047619
"1-methylguanidine"	2.90794387356553	2.92612602878247	2.95958456925942	0.0493709523809524
"1-methylhistamine"	0	0	0	9e-04
"1-methylimidazoleacetate"	0	0	0	0.00320952380952381
"1-methylnicotinamide"	-1.41449648996668	0	-1.41449648996668	0.00104285714285714
"1-methylxanthine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00122698412698413
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*"	0	0	0	0.0101515873015873
