"d84_cc_ctrl"	"d84_cc_sub"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*"	0	0	0	0.00308769841269841
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	1.0001000150025	0	1.0001000150025	0.000355555555555556
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	-0.742039370982151	-0.318863616650787	-1.00899025011508	0.00948327006327006
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*"	1.0001000150025	0.426409185675988	0.738589233660257	0.00572600732600733
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	1.86870643914448	1.34188234706475	2.2017854298905	0.00824535742035742
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	-0.239047087854141	-0.324446257503263	-0.209023948277014	0.00349134920634921
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	-1.0001000150025	0	-1.0001000150025	0.000685714285714286
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	0	-0.852864894215877	-0.577369515160903	0.0038818253968254
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	-0.49237790049597	-1.10295608460665	-0.640711141470319	0.00507333333333333
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	1.46090517970292	0.78451281975028	1.19438990295302	0.00780066100566101
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	0.132453468081214	1.15060744055887	0.67764833995172	0.00415679653679654
"1,2-dilinoleoyl-GPE (18:2/18:2)*"	0	0	0	0.00584069541569542
"1,2-dilinoleoyl-GPC (18:2/18:2)"	1.0001000150025	-1.0001000150025	-0.156174142801614	0.00372238095238095
"1,2-dipalmitoyl-GPC (16:0/16:0)"	0	0	0	0.00103982683982684
"1-linoleoyl-GPE (18:2)*"	-1.0001000150025	0	-1.0001000150025	0.00194397824397824
"1-linoleoyl-GPG (18:2)*"	-1.41449648996668	-0.142857434403225	-0.749094932492823	0.00542888888888889
"1-linoleoyl-GPC (18:2)"	0	0	0	0.00126428571428571
"1-linoleoylglycerol (18:2)"	0	0	0	0.00067
"1-methyl-beta-carboline-3-carboxylic acid"	1.73257065675498	2.11491056362266	2.1170741656936	0.0122611038961039
"1-methyladenine"	1.96191607965738	1.41449648996668	1.96101402354683	0.0102821428571429
"1-methylguanidine"	1.0001000150025	-0.577369515160903	-0.0665013870488577	0.00656336940836941
"1-methylhistamine"	-1.38701725030211	-1.40027448069996	-1.69535041788678	0.00170247863247863
"1-methylimidazoleacetate"	0.447222540040205	-0.613058719039302	-0.282618966821116	0.00247674603174603
