"d84_cc_ctrl"	"d84_cc_ther"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*"	0	0	0	0.00151111111111111
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	0	0	0	0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	0	0	0	0.00151111111111111
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*"	0	0	0	0.00168888888888889
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	0	0	0	0
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	0	0	0	0.000868888888888889
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	1.0001000150025	0	1.0001000150025	0.00202222222222222
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	0	0	0	0.000977777777777778
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	-1.41449648996668	-1.41449648996668	-1.41449648996668	0.0016
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	0	0	0	0.00032
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	0	0	0	0.00355555555555555
"1,2-dilinoleoyl-GPE (18:2/18:2)*"	0	0	0	0.000888888888888889
"1,2-dilinoleoyl-GPC (18:2/18:2)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.000355555555555556
"1,2-dipalmitoyl-GPC (16:0/16:0)"	0	0	0	0.00222222222222222
"1-linoleoyl-GPE (18:2)*"	-1.26511349842314	-1.41449648996668	-1.34188234706475	0.00444444444444444
"1-linoleoyl-GPG (18:2)*"	0	0	0	0.00426666666666667
"1-linoleoyl-GPC (18:2)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00222222222222222
"1-linoleoylglycerol (18:2)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.000355555555555556
"1-methyl-beta-carboline-3-carboxylic acid"	0	0	0	0.004
"1-methyladenine"	1.70610212367578	1.73257065675498	1.71841859868114	0.0114666666666667
"1-methylguanidine"	0	0	0	0
"1-methylhistamine"	1.0001000150025	1.0001000150025	1.0001000150025	0.00711111111111111
"1-methylimidazoleacetate"	0	0	0	0.00302222222222222
"1-methylnicotinamide"	3.13302450774209	3.61024765204322	3.34091354733811	0.02832
"1-methylxanthine"	0	0	0	0
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*"	0	0	0	0.00177777777777778
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	0	0	0	0.000888888888888889
"1-oleoyl-GPE (18:1)"	0	0	0	0
"1-oleoyl-GPG (18:1)*"	0	0	0	0.00213333333333333
"1-oleoyl-GPS (18:1)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	8e-04
"1-oleoylglycerol (18:1)"	0	0	0	0
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)"	0	0	0	8e-04
"1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*"	0	0	0	0.00307777777777778
"1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*"	0	0	0	0.00631111111111111
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)"	0	0	0	0
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)"	0	0	0	0.000711111111111111
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"	0.2000008000048	-1.0001000150025	-0.128037089829937	0.00245555555555556
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)"	0	0	0	0
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.000977777777777778
"1-palmitoyl-GPA (16:0)"	0	0	0	0.00213333333333333
"1-palmitoyl-GPE (16:0)"	0	0	0	0.000888888888888889
"1-palmitoyl-GPG (16:0)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00115555555555556
"1-palmitoyl-GPI* (16:0)"	0	0	0	0
"1-palmitoyl-GPC (16:0)"	-1.38701725030211	-1.41449648996668	-1.40027448069996	0.00225555555555556
"1-palmitoylglycerol (16:0)"	0	0	0	0.000622222222222222
"1-pentadecanoylglycerol (15:0)"	0	0	0	3e-04
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)"	0	0	0	0.00352222222222222
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*"	0	0	0	0.000355555555555556
"1-stearoyl-2-linoleoyl-GPI (18:0/18:2)"	0	0	0	0.000977777777777778
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.000622222222222222
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00124444444444444
"1-stearoyl-GPA (18:0)"	0	0	0	0.00177777777777778
"1-stearoyl-GPE (18:0)"	1.0001000150025	0	1.0001000150025	0.00112222222222222
"1-stearoyl-GPG (18:0)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00186666666666667
"1-stearoyl-GPI (18:0)"	0	0	0	0.000977777777777778
"1-stearoyl-GPS (18:0)*"	-0.277352231599525	1.0001000150025	0	0.00906666666666667
"1-stearoyl-GPC (18:0)"	0	0	0	0.000888888888888889
"10-heptadecenoate (17:1n7)"	0	0	0	0.000355555555555556
"10-hydroxystearate"	0	0	0	0.00151111111111111
"12,13-DiHOME"	0	0	0	0.00115555555555556
"13-HODE + 9-HODE"	0	0	0	0
"13-methylmyristate"	-1.26511349842314	-1.41449648996668	-1.34188234706475	0.00462222222222222
"methylpalmitate (15 or 2)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00266666666666667
"17-methylstearate"	0	0	0	0.00355555555555556
"1H-quinolin-2-one"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.000711111111111111
"2'-deoxyadenosine"	0	0	0	0.000355555555555556
"2'-deoxyadenosine 5'-monophosphate"	1.97642991813567	2.00080048032022	1.98758326284912	0.0214222222222222
"2'-deoxycytidine"	-1.38701725030211	-1.41449648996668	-1.40027448069996	0.00897777777777778
"dCMP"	2.63819793061869	2.83069258536149	2.76048759249388	0.0352888888888889
"2'-deoxyguanosine"	0	0	0	0.00746666666666667
"2'-deoxyinosine"	0	0	0	0.012
"2'-deoxyuridine"	0	0	0	0.00631111111111111
"2,3-dihydroxyisovalerate"	-1.0001000150025	0	-1.0001000150025	0.00613333333333333
"2,4,6-trihydroxybenzoate"	-1.73257065675498	-1.73257065675498	-1.73257065675498	0.00328888888888889
"2,4-dihydroxyhydrocinnamate"	0	0	0	0.00293333333333333
"2-(4-hydroxyphenyl)propionate"	0	0	0	0.0016
"2,8-quinolinediol"	1.34188234706475	1.41449648996668	1.37224701077541	0.0117333333333333
"2-aminoadipate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0024
"2-aminobutyrate"	-1.633428800962	-1.73257065675498	-1.698238938219	0.00266666666666667
"2-aminoheptanoate"	1.96471897850879	2.00080048032022	1.98326103526777	0.0263111111111111
"2-hydroxy-3-methylvalerate"	2.80196681772802	3.00270365047613	2.92935752544666	0.0213333333333333
"2-hydroxyadipate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00497777777777778
