diff	lwr	upr	p adj	location	day	ad_metric	q.value
sub-ctrl16	-68.8812912	-107.14892558542	-30.6136568145796	0.000404648289752729	cc	42	chao	0.0162997546597587
ther-ctrl16	-103.084605422222	-141.352239807643	-64.8169710368018	1.45103754833897e-06	cc	42	chao	0.000174124505800677
ther-sub16	-34.2033142222222	-73.465078687173	5.05845024272864	0.0962653674498146	cc	42	chao	0.315050293472121
sub-ctrl17	-67.1821824555556	-102.954103296632	-31.4102616144791	0.000245479405104998	cc	42	ace	0.0162997546597587
ther-ctrl17	-100.425896011111	-136.197816852188	-64.6539751700346	7.31463008829536e-07	cc	42	ace	0.000174124505800677
ther-sub17	-33.2437135555555	-69.9449299510038	3.4575028398927	0.0811585097739892	cc	42	ace	0.296778093846788
sub-ctrl18	-15.5024364777778	-26.5172331234352	-4.48763983212034	0.00478269391498032	cc	42	invsimpson	0.0614917789068898
ther-ctrl18	-13.0515222555556	-24.066318901213	-2.03672560989811	0.0179784289444765	cc	42	invsimpson	0.155718961726361
ther-sub18	2.45091422222223	-8.85002868884247	13.7518571332869	0.852349881796347	cc	42	invsimpson	0.999999984904248
sub-ctrl19	-0.488839933333332	-0.826160117240995	-0.15151974942567	0.00369990643071505	cc	42	shannon	0.0511554225284735
ther-ctrl19	-0.410376822222221	-0.747697006129884	-0.073056638314558	0.0149695378216859	cc	42	shannon	0.145649557183971
ther-sub19	0.0784631111111116	-0.267620095299533	0.424546317521757	0.839900911055037	cc	42	shannon	0.999999984904248
sub-ctrl20	-14.875	-68.7889358528859	39.0389358528859	0.760066831330663	cc	56	sobs	0.999999984904248
ther-ctrl20	-57.625	-121.416829185318	6.16682918531757	0.0800584069463349	cc	56	sobs	0.296778093846788
ther-sub20	-42.75	-108.043018790312	22.5430187903118	0.239459167433224	cc	56	sobs	0.598647918583061
sub-ctrl21	-30.3196065535714	-97.9999140438793	37.3607009367364	0.495200729093459	cc	56	chao	0.886926678973359
ther-ctrl21	-90.842183875	-170.922603646475	-10.7617641035248	0.0252943016393024	cc	56	chao	0.175114395964401
ther-sub21	-60.5225773214286	-142.487500096812	21.4423454539545	0.169361057195431	cc	56	chao	0.46899985069504
sub-ctrl22	-18.3857630178571	-77.9135912373916	41.1420652016775	0.710173095762016	cc	56	ace	0.999999984904248
ther-ctrl22	-71.2581823749999	-141.692458587283	-0.823906162716924	0.0471730304871489	cc	56	ace	0.249739573167259
ther-sub22	-52.8724193571429	-124.964199432154	19.2193607178685	0.173020834247151	cc	56	ace	0.475477101747895
sub-ctrl23	-4.81421542857143	-18.8708818622775	9.2424510051346	0.657918026503488	cc	56	invsimpson	0.999999984904248
ther-ctrl23	-14.65098375	-31.2830557712447	1.98108827124465	0.0890400471857249	cc	56	invsimpson	0.300208743534153
ther-sub23	-9.83676832142857	-26.8602367636047	7.18670012074759	0.321213376680165	cc	56	invsimpson	0.70942831659423
sub-ctrl24	-0.230184732142857	-0.637184287670508	0.176814823384794	0.335813352181564	cc	56	shannon	0.723909022666845
ther-ctrl24	-0.575724125	-1.05729249343753	-0.094155756562467	0.0184127841673941	cc	56	shannon	0.155718961726361
ther-sub24	-0.345539392857143	-0.838440332221468	0.147361546507182	0.198329441336777	cc	56	shannon	0.519005937059603
sub-ctrl25	-40.8999999999999	-82.6867775417252	0.886777541725337	0.0559501074041623	cc	7	sobs	0.259507522672847
ther-ctrl25	-45.9	-87.6867775417253	-4.11322245827469	0.0291635373108304	cc	7	sobs	0.198091951545263
ther-sub25	-5.00000000000003	-46.7867775417253	36.7867775417253	0.952724840152813	cc	7	sobs	0.999999984904248
sub-ctrl26	-48.8594824	-94.0814977439823	-3.63746705601766	0.0322506487496182	cc	7	chao	0.203688307892326
ther-ctrl26	-54.0719951	-99.2940104439823	-8.84997975601765	0.0166913993748882	cc	7	chao	0.1513527345698
ther-sub26	-5.21251269999999	-50.4345280439823	40.0095026439823	0.956048098990321	cc	7	chao	0.999999984904248
sub-ctrl27	-46.6975131999999	-90.6640454903016	-2.73098090969832	0.03569648995119	cc	7	ace	0.217444277331575
ther-ctrl27	-51.4100807	-95.3766129903016	-7.44354840969833	0.0194648702157951	cc	7	ace	0.155718961726361
ther-sub27	-4.71256750000001	-48.6790997903016	39.2539647903016	0.961869588145364	cc	7	ace	0.999999984904248
sub-ctrl28	-14.608686	-27.0976534487176	-2.11971855128235	0.0194167900578862	cc	7	invsimpson	0.155718961726361
ther-ctrl28	-12.2679647	-24.7569321487176	0.22100274871765	0.0549200883178118	cc	7	invsimpson	0.259507522672847
ther-sub28	2.3407213	-10.1482461487176	14.8296887487176	0.888271058060503	cc	7	invsimpson	0.999999984904248
sub-ctrl29	-0.5178575	-0.994052666530552	-0.0416623334694476	0.0310067376821406	cc	7	shannon	0.199329027956618
ther-ctrl29	-0.4371415	-0.913336666530552	0.0390536665305526	0.0765851952887859	cc	7	shannon	0.292725843448658
ther-sub29	0.0807160000000002	-0.395479166530552	0.556911166530553	0.90756528452458	cc	7	shannon	0.999999984904248
sub-ctrl30	-74.7833333333333	-126.909528789401	-22.657137877266	0.00383665668963551	cc	78	sobs	0.0511554225284735
