"d78_cc_ctrl"	"d78_cc_ther"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"2'-deoxyadenosine 5'-monophosphate"	1.0001000150025	0	1.0001000150025	0.00312619047619048
"2'-deoxycytidine"	7.9006749702315	7.79175400896661	8.12146264141163	0.100552380952381
"dCMP"	-0.426409185675988	-0.577369515160903	-0.49237790049597	0.0209333333333333
"2'-deoxyguanosine"	-0.774643149224878	-0.730335695616076	-0.876972513683884	0.0289438095238095
"2'-deoxyinosine"	2.76655083046675	2.80845557036922	3.00923484914614	0.0307
"2'-deoxyuridine"	3.79494539992645	3.80406957580063	3.97339404841668	0.0394714285714286
"2,3-dihydroxyisovalerate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00277619047619048
"2,4,6-trihydroxybenzoate"	4.15816719869058	3.79028528192479	4.17947596948866	0.0560253968253968
"2,4-dihydroxyhydrocinnamate"	0	0	0	0.000333333333333333
"2-(4-hydroxyphenyl)propionate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00233333333333333
"2,8-quinolinediol"	2.30664613741755	2.6518576139191	2.69040502999676	0.0214514285714286
"2-aminoadipate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00345333333333333
"2-aminobutyrate"	0	0	-0.156174142801614	0.00200222222222222
"2-aminoheptanoate"	2.63797467850049	2.71134728756987	2.72866935498635	0.0284266666666667
"2-hydroxy-3-methylvalerate"	-1.0001000150025	-1.38701725030211	-1.3782589832074	0.00247333333333333
"2-hydroxyadipate"	1.0001000150025	1.0001000150025	1.0001000150025	0.000666666666666667
"2-hydroxybutyrate/2-hydroxyisobutyrate"	0.277352231599525	-1.0001000150025	-0.343001205617056	0.00268666666666667
"2-hydroxyglutarate"	0	0	0	0
"2-hydroxypalmitate"	0	-1.0001000150025	-1.0001000150025	0.000333333333333333
"2-hydroxyphenylacetate"	-1.34188234706475	-1.38701725030211	-1.41449648996668	0.0190333333333333
"2-hydroxystearate"	0	0	0	0.00186285714285714
"2-isopropylmalate"	0	0	0	0.00140952380952381
"2-linoleoylglycerol (18:2)"	-1.38701725030211	-1.41449648996668	-1.40027448069996	0.00493333333333333
"2-oleoylglycerol (18:1)"	-1.0001000150025	-0.640210638343084	-0.816551019477037	0.00467619047619048
"2-oxindole-3-acetate"	2.67039977690281	2.69965179932186	2.78947011837029	0.0277039682539683
"3-(4-hydroxyphenyl)lactate (HPLA)"	0	0	0	0
"3-(2-hydroxyphenyl)propionate"	0	0	0	0.000742857142857143
"3-(3-hydroxyphenyl)propionate"	0	0	0	0.00443333333333333
"3-(4-hydroxyphenyl)propionate"	1.41449648996668	1.0001000150025	1.30008705568264	0.0061968253968254
"3-carboxyadipate"	0	0	0	0
"3-hydroxy-2-ethylpropionate"	5.64576350930402	5.88617306471443	6.01402222973281	0.0894190476190476
