"d78_cc_ctrl"	"d78_cc_sub"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"1-stearoyl-GPC (18:0)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00125
"10-heptadecenoate (17:1n7)"	-1.2876660719104	-1.60632445314792	-1.58052609180136	0.00269
"10-hydroxystearate"	1.98758326284912	2.03109628515051	2.17330497187392	0.011931746031746
"12,13-DiHOME"	0	0	0	0.000693333333333334
"13-HODE + 9-HODE"	0	0	0	0.00305333333333333
"13-methylmyristate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00116666666666667
"methylpalmitate (15 or 2)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00164666666666667
"17-methylstearate"	-1.87896011520479	-1.98326103526777	-1.98823890591675	0.0106095238095238
"1H-quinolin-2-one"	1.41449648996668	1.38701725030211	1.40868513468813	0.0129333333333333
"2'-deoxyadenosine"	-1.41449648996668	-1.0001000150025	-1.30008705568264	0.00340619047619048
"2'-deoxyadenosine 5'-monophosphate"	-1.0001000150025	-1.34188234706475	-1.69294083934382	0.00307619047619048
"2'-deoxycytidine"	0	1.0001000150025	1.0001000150025	0.000676190476190476
"dCMP"	0	-1.0001000150025	-0.557103304212337	0.00465238095238095
"2'-deoxyguanosine"	-1.40027448069996	-1.41449648996668	-1.40868513468813	0.00442095238095238
"2'-deoxyinosine"	-1.26511349842314	-1.41449648996668	-1.34188234706475	0.0129326984126984
"2'-deoxyuridine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0146809523809524
"2,3-dihydroxyisovalerate"	0	0	0	0.000342857142857143
"2,4,6-trihydroxybenzoate"	0.333337037098767	1.13403923344637	0.764750604370678	0.0213838095238095
"2,4-dihydroxyhydrocinnamate"	-1.0001000150025	0	-1.0001000150025	0.00263333333333333
"2-(4-hydroxyphenyl)propionate"	0	0	0	0.00266666666666667
"2,8-quinolinediol"	1.70610212367578	1.60632445314792	1.69535041788678	0.00794206349206349
"2-aminoadipate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00276666666666667
"2-aminobutyrate"	-1.41449648996668	-1.0001000150025	-1.2876660719104	0.0058047619047619
"2-aminoheptanoate"	3.9264483488982	3.2662491803757	4.06707391616238	0.0590219047619048
"2-hydroxy-3-methylvalerate"	0	-1.0001000150025	-1.0001000150025	0.00180063492063492
"2-hydroxyadipate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00347666666666667
"2-hydroxybutyrate/2-hydroxyisobutyrate"	1.38701725030211	1.0001000150025	1.3782589832074	0.0124119047619048
"2-hydroxyglutarate"	-1.38701725030211	-1.0001000150025	-1.3782589832074	0.00203414141414141
"2-hydroxypalmitate"	0.277352231599525	1.0001000150025	0.343001205617056	0.00405
"2-hydroxyphenylacetate"	1.67172503891797	1.09121936598082	1.31314724719548	0.0153853968253968
"2-hydroxystearate"	0	0	0	0.00150952380952381
"2-isopropylmalate"	-1.0001000150025	0	-1.0001000150025	0.00222
"2-linoleoylglycerol (18:2)"	-0.447222540040205	-1.0001000150025	-0.447222540040205	0.00191666666666667
"2-oleoylglycerol (18:1)"	1.01025563712221	1.91334950649413	1.60075258011039	0.0220371428571429
"2-oxindole-3-acetate"	2.04350153129634	1.93805733711164	2.20690801429772	0.0145966666666667
"3-(4-hydroxyphenyl)lactate (HPLA)"	0	0	0	0.00188761904761905
"3-(2-hydroxyphenyl)propionate"	0.90460805014728	-0.816712910635302	0.0459557755914825	0.00400857142857143
"3-(3-hydroxyphenyl)propionate"	-0.301514085627365	1.00911193386518	0.404995971154335	0.00585968253968254
"3-(4-hydroxyphenyl)propionate"	-1.0001000150025	0	-1.0001000150025	0.00156666666666667
"3-carboxyadipate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00125
"3-hydroxy-2-ethylpropionate"	-0.852864894215877	-0.714322160223656	-0.76253718650922	0.0134047619047619
"3-hydroxy-3-methylglutarate"	0	0.128037089829937	0.0788110895749126	0.00717333333333333
"3-hydroxybenzoate"	0.534537756550364	0.377969872617405	0.555036284634726	0.0216765079365079
"3-hydroxybutyrate (BHBA)"	-0.301514085627365	0	0.252428064545547	0.00647063492063492
"3-hydroxyhexanoate"	0.447222540040205	0.447222540040205	0	0.00514285714285714
"3-hydroxyindolin-2-one"	-1.26511349842314	-1.30008705568264	-1.40868513468813	0.0128953823953824
"3-hydroxyphenylacetate"	0	-1.0001000150025	-1.0001000150025	0.0013
"3-hydroxysebacate"	1.0001000150025	0.277352231599525	0.447222540040205	0.00251952380952381
"3-methyl-2-oxobutyrate"	0	0	0	0
"3-methyl-2-oxovalerate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00275238095238095
"3-methyladipate"	-1.41449648996668	-1.0001000150025	-1.37224701077541	0.00208507936507936
"3-methylglutaconate"	0	-1.0001000150025	-1.0001000150025	0.00661269841269841
"3-methylglutarate/2-methylglutarate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0012
"3-methylhistidine"	0.426409185675988	0.426409185675988	0.397365981368753	0.00747047619047619
"3-phenylpropionate (hydrocinnamate)"	-1.73257065675498	-1.34188234706475	-1.66494077351926	0.0047531746031746
"3-sulfo-L-alanine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00233333333333333
"3-ureidopropionate"	-1.38701725030211	-1.633428800962	-1.85761745330757	0.00365666666666667
"4-acetamidobutanoate"	0	0	0	0.000857142857142857
"4-cholesten-3-one"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00070952380952381
"4-ethylphenyl sulfate"	2.12227558254894	2.21673532038756	2.21064690746344	0.0173261904761905
"4-guanidinobutanoate"	0	0	0	0.000333333333333333
"4-hydroxybenzoate"	-1.83891159036711	-1.96191607965738	-1.97642991813567	0.00545714285714286
"4-hydroxybutyrate (GHB)"	0.577369515160903	-0.17960588140152	0	0.00502666666666667
"4-hydroxymandelate"	0	1.0001000150025	1.0001000150025	0.00573571428571429
"4-hydroxyphenylacetate"	1.21285649954833	1.41449648996668	1.34188234706475	0.00343333333333333
"4-hydroxyphenylpyruvate"	0	0	0	0.000342857142857143
"4-imidazoleacetate"	4.13519528271495	4.16481461557805	4.47551540146289	0.0415285714285714
"4-methyl-2-oxopentanoate"	0	0	0	0.00106666666666667
"4-methylthio-2-oxobutanoate"	0	0	0	0.00036
"5-(2-Hydroxyethyl)-4-methylthiazole"	1.00635848246113	-0.97444721889612	0.119428284640278	0.0334652380952381
"5-aminovalerate"	4.19246029313729	4.13798926023124	4.45340178555495	0.0668690476190476
"5-hydroxyhexanoate"	-1.66712982262021	-1.698238938219	-1.73257065675498	0.0120706349206349
"5-hydroxyindoleacetate"	-1.83259888262082	-1.03675352900414	-1.75883361776098	0.0142366666666667
