name	name2	group	day	location	trt	window	trt_window	turkey
d14_cc_ctrl_061	d14_cc_ctrl_061	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl	T61
d14_cc_ctrl_062	d14_cc_ctrl_062	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl	T62
d14_cc_ctrl_063	d14_cc_ctrl_063	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl	T63
d14_cc_ctrl_064	d14_cc_ctrl_064	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl	T64
d14_cc_ctrl_065	d14_cc_ctrl_065	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl	T65
d14_cc_ctrl_066	d14_cc_ctrl_066	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl	T66
d14_cc_ctrl_067	d14_cc_ctrl_067	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl	T67
d14_cc_ctrl_068	d14_cc_ctrl_068	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl	T68
d14_cc_ctrl_069	d14_cc_ctrl_069	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl	T69
d14_cc_ctrl_070	d14_cc_ctrl_070	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl	T70
d14_cc_sub_071	d14_cc_sub_071	d14_cc_sub	14	cc	sub	early	early_sub	T71
d14_cc_sub_072	d14_cc_sub_072	d14_cc_sub	14	cc	sub	early	early_sub	T72
d14_cc_sub_073	d14_cc_sub_073	d14_cc_sub	14	cc	sub	early	early_sub	T73
d14_cc_sub_074	d14_cc_sub_074	d14_cc_sub	14	cc	sub	early	early_sub	T74
d14_cc_sub_075	d14_cc_sub_075	d14_cc_sub	14	cc	sub	early	early_sub	T75
d14_cc_sub_076	d14_cc_sub_076	d14_cc_sub	14	cc	sub	early	early_sub	T76
d14_cc_sub_077	d14_cc_sub_077	d14_cc_sub	14	cc	sub	early	early_sub	T77
d14_cc_sub_078	d14_cc_sub_078	d14_cc_sub	14	cc	sub	early	early_sub	T78
d14_cc_sub_079	d14_cc_sub_079	d14_cc_sub	14	cc	sub	early	early_sub	T79
d14_cc_sub_080	d14_cc_sub_080	d14_cc_sub	14	cc	sub	early	early_sub	T80
d14_cc_ther_081	d14_cc_ther_081	d14_cc_ther	14	cc	ther	early	early_ther	T81
