"d7_cc_ctrl"	"d7_cc_ther"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*"	6.39857399331793	6.37123762053808	6.66682974210591	0.0846333333333333
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	0	0	0	0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	1.40027448069996	1.41449648996668	1.40584162388088	0.0046
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*"	2.41349538085332	2.03109628515051	2.35245342637775	0.0172571428571429
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00257555555555555
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	1.0001000150025	1.0001000150025	1.0001000150025	0.0081
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	1.0001000150025	1.0001000150025	1.0001000150025	0.00323333333333333
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	3.19532459708148	3.23025174119602	3.23397956317944	0.028627619047619
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	2.94241785067938	2.71482157394048	2.97688301295777	0.0255333333333333
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	2.27320709107499	2.5015639663713	2.54681408365167	0.0135404761904762
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	2.0710844759428	2.40178107489727	2.25725641202778	0.02262
"1,2-dilinoleoyl-GPE (18:2/18:2)*"	6.30214444331912	6.34722065745546	6.60795054719504	0.0779199999999999
"1,2-dilinoleoyl-GPC (18:2/18:2)"	2.66187784633781	2.50374101930137	2.74534285499185	0.0258761904761905
"1,2-dipalmitoyl-GPC (16:0/16:0)"	1.0001000150025	1.0001000150025	1.0001000150025	0.00391904761904762
"1-linoleoyl-GPE (18:2)*"	0	0	0	0.00188333333333333
"1-linoleoyl-GPG (18:2)*"	-1.45078659778816	0.301514085627365	-1.08655720945547	0.00534285714285714
"1-linoleoyl-GPC (18:2)"	-1.41449648996668	-1.0001000150025	-1.40868513468813	0.00202380952380952
"1-linoleoylglycerol (18:2)"	0	0	0	0.00359333333333333
"1-methyl-beta-carboline-3-carboxylic acid"	0	0	0	0
"1-methyladenine"	0	0	0	0.00255333333333333
"1-methylguanidine"	2.21467982123294	2.19846286220122	2.21120643039962	0.0232238095238095
"1-methylhistamine"	0	0	0	0
"1-methylimidazoleacetate"	0	0	0	0.0012
"1-methylnicotinamide"	0	0	0	0
"1-methylxanthine"	0	0	0	0.000342857142857143
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*"	-0.301514085627365	0.816551019477037	0.252428064545547	0.0102222222222222
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	2.42629821363188	2.49770763213812	2.62091979578898	0.02205
"1-oleoyl-GPE (18:1)"	1.85761745330757	2.74704491278455	2.63011852446441	0.0203666666666667
"1-oleoyl-GPG (18:1)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00106666666666667
"1-oleoyl-GPS (18:1)"	0	0	0	0
"1-oleoylglycerol (18:1)"	-1.34188234706475	-1.38701725030211	-1.41449648996668	0.00196666666666667
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)"	0.78451281975028	1.0001000150025	0.883521169039795	0.00885714285714286
"1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00106666666666667
"1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*"	3.06650265545152	2.92853706328711	3.17906819407002	0.0187371428571429
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)"	2.30799412518288	2.28950939861596	2.3744137543478	0.0198
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)"	2.26571627214722	2.31063374355391	2.37118419343732	0.0198238095238095
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"	5.53754686568642	5.52008276135945	5.82246517817189	0.0765761904761904
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)"	0.397365981368753	1.698238938219	1.3782589832074	0.0200071428571429
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*"	2.12886225342782	2.161255720919	2.15239711736512	0.0130333333333333
"1-palmitoyl-GPA (16:0)"	0	0	0	0
"1-palmitoyl-GPE (16:0)"	0.816551019477037	0.577369515160903	0.727645398532215	0.0096
"1-palmitoyl-GPG (16:0)*"	0	0	0	0.002
"1-palmitoyl-GPI* (16:0)"	0	0	0	0
"1-palmitoyl-GPC (16:0)"	-1.34188234706475	-1.40027448069996	-1.38701725030211	0.00303333333333333
"1-palmitoylglycerol (16:0)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00303333333333333
"1-pentadecanoylglycerol (15:0)"	0	0	0	0
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)"	2.18386141907487	2.39267295014696	2.46081840274165	0.0219238095238095
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*"	2.77563690826684	2.62041215336698	2.75556893487684	0.0251666666666667
"1-stearoyl-2-linoleoyl-GPI (18:0/18:2)"	-0.852864894215877	-0.816551019477037	-0.829458273796686	0.00596666666666667
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)"	-0.262614676861393	0	0	0.0127333333333333
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)"	2.43000505853586	2.31063374355391	2.43414167825954	0.0126
"1-stearoyl-GPA (18:0)"	-0.78451281975028	-0.542342096019343	-0.648913007751246	0.00494285714285714
"1-stearoyl-GPE (18:0)"	0.426409185675988	0	0.323233344660164	0.00328333333333333
"1-stearoyl-GPG (18:0)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00257619047619048
"1-stearoyl-GPI (18:0)"	0	0	0	0
"1-stearoyl-GPS (18:0)*"	2.06933448917003	2.4843495864953	2.35194929179154	0.0192888888888889
"1-stearoyl-GPC (18:0)"	1.0001000150025	1.0001000150025	1.0001000150025	0.0039
"10-heptadecenoate (17:1n7)"	0	0	0	0
"10-hydroxystearate"	0	0	0	0
"12,13-DiHOME"	1.0001000150025	1.0001000150025	1.0001000150025	0.00625333333333333
"13-HODE + 9-HODE"	-1.50789946626551	-0.262614676861393	-0.883521169039795	0.00796666666666667
"13-methylmyristate"	3.79437339335658	3.57599269926076	3.78661099627622	0.0327961904761905
"methylpalmitate (15 or 2)"	-1.03153098943581	-0.898098940388469	-0.941221772761182	0.01368
"17-methylstearate"	0	0	0	0
"1H-quinolin-2-one"	1.71841859868114	1.73257065675498	1.72825282455071	0.0102666666666667
"2'-deoxyadenosine"	0	0.277352231599525	0.156174142801614	0.0062
"2'-deoxyadenosine 5'-monophosphate"	1.84957930944262	1.6522029532148	1.71229691384837	0.0270111111111111
"2'-deoxycytidine"	-0.122169626699168	-0.262614676861393	-0.221719013595158	0.0105928571428571
"dCMP"	0.262614676861393	0.426409185675988	0.602192731423145	0.0166722222222222
"2'-deoxyguanosine"	-0.142857434403225	0.780916427750203	0.507686167430468	0.00477619047619048
"2'-deoxyinosine"	0	0	0	0.000366666666666667
"2'-deoxyuridine"	0	0	0	0
"2,3-dihydroxyisovalerate"	0	0	0	0.00223333333333333
"2,4,6-trihydroxybenzoate"	0	0	0	0.00436952380952381
"2,4-dihydroxyhydrocinnamate"	0	0	0	0.00513333333333333
"2-(4-hydroxyphenyl)propionate"	0	0	0	0.00100952380952381
"2,8-quinolinediol"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00446666666666667
"2-aminoadipate"	-0.409622833183508	-0.855779630199077	-0.697949419251518	0.0147038095238095
"2-aminobutyrate"	-0.90460805014728	0.218218929376225	-0.397365981368753	0.00307619047619048
"2-aminoheptanoate"	0.447222540040205	-0.343001205617056	0	0.00246666666666667
"2-hydroxy-3-methylvalerate"	5.99475253979818	6.19709003569784	6.46300147766194	0.0758195238095238
"2-hydroxyadipate"	2.84539638863923	2.99957834073595	2.95539644117445	0.03348
"2-hydroxybutyrate/2-hydroxyisobutyrate"	-0.632480831772952	0.557103304212337	0.128037089829937	0.00363333333333333
"2-hydroxyglutarate"	0	0	0	0
"2-hydroxypalmitate"	0	0	0	0.000333333333333333
