"d35_cc_ctrl"	"d35_cc_ther"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"1H-quinolin-2-one"	5.96209998296013	5.9312045768486	6.32630993683614	0.0793
"2'-deoxyadenosine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0018
"2'-deoxyadenosine 5'-monophosphate"	0	0	0	0
"2'-deoxycytidine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0035
"dCMP"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00213333333333333
"2'-deoxyguanosine"	3.07269762336349	2.79548613865771	3.02337641124565	0.0234333333333333
"2'-deoxyinosine"	0	0	0	0
"2'-deoxyuridine"	-1.38701725030211	-1.38701725030211	-1.41449648996668	0.00356666666666667
"2,3-dihydroxyisovalerate"	0	0	0	0.00226666666666667
"2,4,6-trihydroxybenzoate"	5.17316766383246	5.25471488368583	5.56648004848075	0.0600761904761905
"2,4-dihydroxyhydrocinnamate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00569523809523809
"2-(4-hydroxyphenyl)propionate"	5.05679455193385	5.1165234160763	5.3106587613625	0.0603666666666667
"2,8-quinolinediol"	5.89057453382383	5.88873778566195	6.11677783072603	0.0652666666666667
"2-aminoadipate"	0	0	0	0.0012
"2-aminobutyrate"	6.29945081819139	6.38914398683992	6.62205868336918	0.0743761904761905
"2-aminoheptanoate"	0.90460805014728	0.128037089829937	0.507686167430468	0.00406666666666667
"2-hydroxy-3-methylvalerate"	0	0	0	0.00183333333333333
"2-hydroxyadipate"	1.78625700223531	1.69147737108435	1.96191607965738	0.0140365079365079
"2-hydroxybutyrate/2-hydroxyisobutyrate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00223333333333333
"2-hydroxyglutarate"	0	0	0	0
"2-hydroxypalmitate"	-1.73257065675498	-1.73257065675498	-1.73257065675498	0.0119571428571429
"2-hydroxyphenylacetate"	0	0	0	0
"2-hydroxystearate"	0.714322160223656	0.468531570618058	0.507686167430468	0.0195666666666667
"2-isopropylmalate"	0	0	0	0
"2-linoleoylglycerol (18:2)"	2.91978581236892	3.06323855188804	3.07465944021603	0.0254666666666667
"2-oleoylglycerol (18:1)"	1.73257065675498	1.96191607965738	1.92126199194771	0.0156619047619048
"2-oxindole-3-acetate"	2.7493777521592	2.99977033887481	3.04838900376982	0.0217761904761905
"3-(4-hydroxyphenyl)lactate (HPLA)"	0	0	0	0.0045
"3-(2-hydroxyphenyl)propionate"	0.632480831772952	0	0.343001205617056	0.0114704761904762
"3-(3-hydroxyphenyl)propionate"	2.89716554036179	2.94706011901682	3.10175762028004	0.022088253968254
"3-(4-hydroxyphenyl)propionate"	5.80987641312278	5.84581189415297	6.11134720478147	0.0644
"3-carboxyadipate"	2.60149357988146	2.54529393399828	2.66174510722937	0.0215666666666667
"3-hydroxy-2-ethylpropionate"	-0.632480831772952	-0.632480831772952	-0.632480831772952	0.00766666666666667
"3-hydroxy-3-methylglutarate"	1.17685977192638	0.610870015864105	1.16630490735618	0.0159
"3-hydroxybenzoate"	0	0	0	0.00148666666666667
"3-hydroxybutyrate (BHBA)"	0	0	0	0
"3-hydroxyhexanoate"	1.0001000150025	1.0001000150025	1.0001000150025	0.000366666666666667
"3-hydroxyindolin-2-one"	0	0	0	0.00116666666666667
"3-hydroxyphenylacetate"	-0.447222540040205	0	-0.277352231599525	0.0074
"3-hydroxysebacate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00360952380952381
"3-methyl-2-oxobutyrate"	0	0	0	0.00438888888888889
"3-methyl-2-oxovalerate"	0	0	0	0.00363333333333333
"3-methyladipate"	0	-1.0001000150025	-0.318002579774592	0.00713333333333333
"3-methylglutaconate"	2.94766556702829	2.86069056266403	3.02911133071666	0.0252333333333333
"3-methylglutarate/2-methylglutarate"	1.41449648996668	1.41449648996668	1.41449648996668	0.00953333333333333
"3-methylhistidine"	0	0	0	0.000342857142857143
"3-phenylpropionate (hydrocinnamate)"	0	0	0	0.0103
"3-sulfo-L-alanine"	0	0	0	9e-04
"3-ureidopropionate"	0	0	0	0
"4-acetamidobutanoate"	0	0.727645398532215	0.49237790049597	0.0135
"4-cholesten-3-one"	0	0	0	9e-04
"4-ethylphenyl sulfate"	0	0	0	0.00035
"4-guanidinobutanoate"	0.577369515160903	0.426409185675988	0.49237790049597	0.0109666666666667
"4-hydroxybenzoate"	2.72381271909283	2.96772543770988	3.05686077959766	0.0315833333333333
"4-hydroxybutyrate (GHB)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00673333333333333
"4-hydroxymandelate"	1.1472296305523	0.90460805014728	1.0001000150025	0.0144333333333333
"4-hydroxyphenylacetate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00428888888888889
"4-hydroxyphenylpyruvate"	-1.34188234706475	-1.38701725030211	-1.37224701077541	0.0062
"4-imidazoleacetate"	2.80359824611186	2.89861306325979	2.92882860074584	0.0248666666666667
"4-methyl-2-oxopentanoate"	0	0	0	0.00415714285714286
"4-methylthio-2-oxobutanoate"	1.0001000150025	1.73257065675498	1.71549048167036	0.00719047619047619
"5-(2-Hydroxyethyl)-4-methylthiazole"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00233333333333333
"5-aminovalerate"	2.96909334762992	2.8798977874387	3.0913078681348	0.0211333333333333
"5-hydroxyhexanoate"	-1.38701725030211	-1.26511349842314	-1.34188234706475	0.00152
"5-hydroxyindoleacetate"	5.18383412808659	5.22847333199361	5.37930083784825	0.0572666666666667
"5-hydroxylysine"	1.41449648996668	1.0001000150025	1.38701725030211	0.00482380952380952
"5-methyl-2'-deoxycytidine"	0	0	0	0.00736666666666667
"5-methyluridine (ribothymidine)"	1.41449648996668	1.40027448069996	1.40584162388088	0.00846666666666667
"5-oxoproline"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00836666666666667
"6-hydroxydaidzein"	1.0001000150025	1.0001000150025	1.0001000150025	0.00293333333333333
"6-hydroxynicotinate"	0	0	0	0.000633333333333333
"6-oxopiperidine-2-carboxylate"	2.11152020790636	1.66494077351926	2.21192472988305	0.0148
"7-methylguanine"	0.898098940388469	0.262614676861393	0.628833087243496	0.0151571428571429
"8-hydroxyguanine"	-0.714322160223656	-0.896330162714078	-0.785035439859902	0.0121333333333333
"8-hydroxyoctanoate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00753333333333333
"9,10-DiHOME"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.010747619047619
"acetylcarnitine (C2)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00152222222222222
"acetylphosphate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00441666666666667
"acisoga"	0	0	0	0.000342857142857143
"adenine"	1.66712982262021	1.69535041788678	1.72660297827014	0.0100333333333333
"adenosine"	0	0	0	0.000266666666666667
"AMP"	0	0	0	0.00106666666666667
"adipate"	1.0001000150025	1.0001000150025	1.0001000150025	0.0012
"agmatine"	0	0	0	0.000666666666666667
"alanine"	1.23643405442997	1.0001000150025	1.13204392820909	0.00766666666666667
"alanylleucine"	0.738589233660256	0.492676597397113	0.663070346943272	0.0184333333333333
"allo-threonine"	0	0	0	0.00173333333333333
"alpha-hydroxyisocaproate"	0	0	0	0.0077
"alpha-hydroxyisovalerate"	-1.38701725030211	-1.38701725030211	-1.41449648996668	0.00255333333333333
"alpha-ketoglutarate"	0	0	0	0
"alpha-tocopherol"	-0.2000008000048	1.0001000150025	0.447222540040205	0.00442380952380952
"alpha-tocopherol acetate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00196666666666667
"alpha-tocotrienol"	0	0	0	0.00116666666666667
"anserine"	5.31621740187547	5.21277185692033	5.42491313029445	0.0654
"arabinose"	-0.471414996796251	0.816551019477037	0.0788110895749126	0.0069
"arabitol/xylitol"	1.0001000150025	1.0001000150025	1.0001000150025	0.00423333333333333
